Epoch,Train Loss,Train Acc,Test Loss,Test Acc
1,2.017788198289641,0.5685371525938889,0.9167621037941638,0.8367046708348658
2,1.115796002169263,0.731769094383937,0.5750050650825282,0.8705406399411548
3,0.9102296797849155,0.7632457574431831,0.4636690273357582,0.8916881206325855
4,0.8241985611304129,0.7760482626816183,0.39976447182815383,0.8959176167708717
5,0.7763223009581459,0.7844988371825278,0.38169994188949424,0.8979404192717911
6,0.7434456113645869,0.7876534113150199,0.3324907084272057,0.906951084957705
7,0.7056100319228377,0.7947914987681043,0.3165571194196222,0.9101691798455315
8,0.6927173736236573,0.7967717423841212,0.28657639075194613,0.9174328797351967
9,0.6830529658719028,0.8009624905017385,0.31110621648578574,0.910996689959544
10,0.6559990502322809,0.8081466301319394,0.29317196630088405,0.916 421478484737
