Epoch,Train Loss,Train Acc,Test Loss,Test Acc
1,2.4434333555895313,0.36636809505169354,1.0754930502397693,0.7628723795513056
2,1.4631327990903233,0.5891224757650418,0.6788686147975589,0.8326590658330268
3,1.2224478428076517,0.6427272099288494,0.532231443489341,0.856289076866495
4,1.0970090725005281,0.6770360818807709,0.48613093699129595,0.8667708716439868
5,1.0277137832189898,0.6927398742775565,0.4667131473221578,0.8656675248253034
6,0.992050599831188,0.7027331967118745,0.41416443804016595,0.8847002574475911
7,0.9363017729220311,0.7184600151972185,0.3797185389388732,0.8915042294961383
8,0.910751340382609,0.7235027285914941,0.3802116288577109,0.8927914674512688
9,0.8949920049743909,0.7265421722811946,0.3604913134951283,0.8933431408606105
10,0.8706941983043158,0.7373183817264961,0.34298265027481706,0.8952739977933064
